index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
56,-1.46,-43.26,-25.69,-59.5,-221.35,232.87,48.78,339.73,-26.77,-9.85,-122.0,-45.67,1.075,20.134,5.513,0.746
57,-0.12,-42.14,-28.13,-68.77,-236.36,242.44,52.82,348.9,-13.23,-12.12,-128.33,-50.32,0.995,9.737,12.774,0.538
58,-1.2,-39.85,-26.86,-59.74,-219.73,215.77,28.89,256.18,53.25,4.41,-46.18,-75.71,1.139,10.604,7.24,0.866
59,0.03,-37.85,-29.45,-62.73,-229.86,235.09,39.25,319.85,6.8,-4.45,-105.4,-57.7,0.82,13.009,14.835,0.865
60,-1.18,-41.27,-30.21,-53.58,-235.02,244.13,70.09,417.4,-178.08,-28.2,-200.68,41.32,0.585,17.908,9.419,0.62
61,-0.39,-39.45,-26.79,-50.44,-216.1,209.8,37.06,318.39,-23.88,-5.95,-111.53,-41.79,0.914,14.72,5.322,0.957
62,-0.3,-41.2,-28.0,-62.68,-221.96,215.42,45.48,332.25,-21.98,-9.32,-122.91,-42.16,0.875,13.896,6.983,0.894
63,-1.91,-38.78,-25.29,-42.43,-198.77,209.71,37.68,324.61,-63.12,-10.16,-131.33,-16.52,0.573,16.475,10.209,1.412
64,-0.43,-40.22,-28.48,-58.75,-219.88,201.85,40.35,327.32,-22.31,-7.36,-120.9,-39.1,0.79,16.027,6.695,1.061
65,-0.99,-40.69,-27.91,-61.71,-226.36,234.93,38.6,293.98,29.65,-0.56,-72.88,-74.72,1.325,18.762,6.227,0.714
66,-1.66,-43.9,-27.99,-53.64,-204.98,199.67,32.66,286.52,12.49,-3.02,-88.96,-58.22,0.846,9.539,8.55,1.112
67,-0.98,-42.35,-28.62,-55.54,-230.81,214.06,62.69,392.32,-116.01,-22.84,-181.95,11.95,0.591,10.241,7.669,0.878
